ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Sep 2017,3Gtms,3Gtms,United States,Middle East,Software & IT serv...,n/a,New Personnel,-,-
2,Sep 2017,Wego,Wego,Singapore,Middle East,Hotels & tourism,n/a,New Funding/Resour...,-,-
3,Sep 2017,Broadridge Finan...,Broadridge Finan...,United States,Asia-Pacific,Software & IT serv...,n/a,New Investment Stra...,-,-
4,Sep 2017,Zoomcar,Zoomcar,India,Asia-Pacific,Automotive OEM,n/a,New Investment Stra...,-,-
5,Sep 2017,Just Fair & Direct ...,Just Fair & Direct ...,Cyprus,Asia-Pacific,Financial services,n/a,New Investment Stra...,-,-
6,Sep 2017,Payjoy,Payjoy,United States,Latin America & C...,Financial services,n/a,New Funding/Resour...,-,$6.00m
7,Sep 2017,Asics,Asics,Japan,Middle East,Textiles,Retail,Considering Project (...,-,-
8,Sep 2017,Irvine Partners,Irvine Partners,South Africa,Kenya,Business services,Business Services,Considering Project (...,-,-
9,Sep 2017,Vodacom,Safaricom,South Africa,Africa,Communications,n/a,New Investment Stra...,-,-
10,Sep 2017,Wadia Group,Britannia Industri...,India,Egypt,Food and Beverages,n/a,New Investment Stra...,-,-
11,Aug 2017,Narrativa,Narrativa,UAE,Middle East,Software & IT serv...,n/a,New Funding/Resour...,-,-
12,Aug 2017,CrimsonLogic,CrimsonLogic,Singapore,Africa,Software & IT serv...,n/a,New Investment Stra...,-,-
13,Aug 2017,Emailage,Emailage,United States,Latin America & C...,Software & IT serv...,n/a,New Funding/Resour...,-,-
14,Aug 2017,Solarus,Solarus,Netherlands,Latin America & C...,Electronic compon...,n/a,New Funding/Resour...,-,$7.88m
15,Aug 2017,Paytabs,Paytabs,Saudi Arabia,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,-
