ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2021,Rain (Rain Financ...,Rain (Rain Financ...,Bahrain,Pakistan,Financial services,n/a,New Investment Stra...,-,-
2,Jul 2021,Tangerine Nigeria,Tangerine Nigeria,Nigeria,Africa,Financial services,n/a,New Investment Stra...,-,-
3,Jul 2021,One Electric Moto...,One Electric Moto...,India,Latin America & C...,Non-automotive tran...,n/a,New Investment Stra...,-,-
4,Jul 2021,Yanolja,Yanolja,South Korea,India,Hotels & tourism,n/a,New Funding/Resour...,$1.70bn,-
5,Jul 2021,Minly,Minly,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$3.60m,-
6,Jul 2021,DigiKhata,DigiKhata,Pakistan,Bahrain,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
7,Jul 2021,Smile Identity,Smile Identity,United States,Africa,Software & IT services,n/a,New Funding/Resour...,$7.00m,-
8,Jul 2021,Jimmy's Cocktails,Jimmy's Cocktails,India,Australia,Food and Beverages,n/a,New Investment Stra...,-,-
9,Jul 2021,MaxAB,MaxAB,Egypt,Middle East,Food and Beverages,n/a,New Funding/Resour...,$40.00m,-
10,Jul 2021,Zeepay,Zeepay,Ghana,Latin America & C...,Financial services,n/a,New Funding/Resour...,$7.50m,-
11,Jun 2021,TotalEnergies (To...,TotalEnergies (To...,France,Nigeria,Renewable energy,n/a,Considering Projec...,-,$60.00bn
12,Jun 2021,DGRADE,DGRADE,UAE,Saudi Arabia,Textiles,n/a,New Investment Stra...,-,-
13,Jun 2021,Vinyl Pipes,Vinyl Pipes,India,Africa,Plastics,n/a,New Investment Stra...,-,-
14,Jun 2021,Integrated Diagn...,Integrated Diagn...,Egypt,Nigeria,Healthcare,n/a,Considering Project (...,-,-
15,Jun 2021,Brut,Brut,France,United States,Software & IT services,n/a,New Funding/Resour...,$75.00m,-
