ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Oct 2010,T&C Industries Ltd,Trouvay & Cauvin,United Kingdom,Asia-Pacific,Industrial equipme...,Unspecified,New Investment S...,-,-
2,Oct 2010,FiCall,FiCall,United Kingdom,Middle East,Communications,Unspecified,New Investment Stra...,-,-
3,Oct 2010,Aedas Architects,Aedas Architects,United Kingdom,Middle East,Business services,Unspecified,New Investment Stra...,-,-
4,Oct 2010,HRT Participacoes...,HRT Participacoes...,Brazil,Africa,"Coal, oil & gas",Extraction,New Funding/Resour...,-,-
5,Oct 2010,Sonalika Group,Sonalika Group,India,Asia-Pacific,Automotive OEM,Manufacturing,Considering Projec...,-,-
6,Oct 2010,Sun Ace Corporat...,Sun Ace Corporat...,Japan,Asia-Pacific,Chemicals,Unspecified,New Investment Stra...,-,-
7,Oct 2010,Calzados Pablo,Pablosky,Spain,Middle East,Consumer products,Retail,Considering Project (...,-,-
8,Oct 2010,Sanlam Group,Sanlam Group,South Africa,Indonesia,Financial services,Unspecified,New Investment Stra...,-,-
9,Oct 2010,China Guodian C...,China Longyuan ...,China,Asia-Pacific,Renewable energy,Electricity,New Investment Stra...,-,-
10,Oct 2010,Arabtec Holding,Arabtec Holding,UAE,Egypt,Real estate,Unspecified,New Overseas Suppli...,-,-
11,Oct 2010,Morgan Stanley,Morgan Stanley,United States,Latin America & C...,Financial services,Unspecified,New Personnel,-,-
12,Oct 2010,Tropical Forestry ...,Tropical Forestry ...,Australia,Latin America & C...,Unspecified,n/a,New Investment Stra...,-,-
13,Oct 2010,PetroSA,PetroSA,South Africa,Angola,"Coal, oil & gas","Logistics, Distribu...",Considering Project (...,-,-
14,Oct 2010,Eagle K-Wear,Eagle K-Wear,Malta,Middle East,Textiles,Unspecified,New Investment Stra...,-,-
15,Oct 2010,BrightSource Ene...,BrightSource Ene...,United States,Australia,Renewable energy,Unspecified,New Investment Stra...,-,-
