ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,May 2024,Yali Aerospace,Yali Aerospace,India,Africa,Aerospace,n/a,New Funding/Resour...,-,-
2,May 2024,Flam,Flam,India,North America,Software & IT services,n/a,New Funding/Resour...,$4.50m,-
3,May 2024,Tosyali Holding,Tosyali Holding,Turkey,Saudi Arabia,Metals,n/a,New Investment Stra...,-,$2.00bn
4,May 2024,PAIX Data Centres,PAIX Data Centres,Netherlands,Africa,Communications,ICT & Internet Infra...,Considering Project (...,-,-
5,May 2024,Tende Energy,Tende Energy,United Kingdom,Tunisia,"Coal, oil & gas",n/a,New Investment Stra...,-,-
6,May 2024,Shinhan Financial,Shinhan Bank,South Korea,Africa,Financial services,Business Services,Considering Project (...,-,-
7,May 2024,NZI Helmets,NZI Helmets,Spain,Africa,Consumer products,Manufacturing,Considering Project (...,-,-
8,May 2024,ST Digital,ST Digital,Cameroon,Africa,Software & IT services,n/a,New Funding/Resour...,$10.86m,-
9,May 2024,Vantage Data Ce...,Vantage Data Ce...,United States,Middle East,Communications,ICT & Internet Infra...,Considering Projec...,$815.14m,-
10,May 2024,Healthians.com,Healthians.com,India,Africa,Biotechnology,Research & Develop...,Considering Project (...,-,-
11,May 2024,Spiro (MAuto Elec...,Spiro (MAuto Elec...,Benin,Morocco,Non-automotive tran...,n/a,New Funding/Resour...,$50.00m,-
12,May 2024,Anthropos,Anthropos,United States,United States,Software & IT services,n/a,New Funding/Resour...,$2.70m,-
13,May 2024,OneTo11,OneTo11,India,Latin America & C...,Software & IT services,n/a,New Investment Stra...,-,-
14,May 2024,VONQ,VONQ,Netherlands,Asia-Pacific,Business services,n/a,New Investment Stra...,-,-
15,May 2024,Maad,Maad,Senegal,Africa,Software & IT services,n/a,New Funding/Resour...,$3.20m,-
