ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Oct 2011,VVF,VVF,India,Africa,Consumer products,Manufacturing,Considering Project (...,-,-
2,Oct 2011,Oriental Weavers,Oriental Weavers,Egypt,Asia-Pacific,Textiles,n/a,New Investment Stra...,-,-
3,Oct 2011,TERMINALFOUR ...,TERMINALFOUR ...,Ireland,South Africa,Software & IT serv...,Unspecified,New Overseas Suppli...,-,-
4,Oct 2011,Engie (GDF SUEZ...,International Pow...,France,India,"Coal, oil & gas",Electricity,Considering Projec...,-,-
5,Oct 2011,Kingfisher,Koctas,United Kingdom,Iraq,Consumer products,Unspecified,New Investment Stra...,-,-
6,Oct 2011,Nippon Telegraph...,Internet Solution...,Japan,Rwanda,Communications,Unspecified,New Investment Stra...,-,-
7,Oct 2011,Vyatta,Vyatta,United States,Middle East,Software & IT serv...,Unspecified,New Investment Stra...,-,-
8,Oct 2011,Splash Group,Splash Group,Philippines,Middle East,Consumer products,Manufacturing,Considering Project (...,-,-
9,Oct 2011,Global Exchange,Global Exchange,Spain,Asia-Pacific,Financial services,Business Services,Considering Projec...,-,-
10,Oct 2011,Anshan Iron and ...,Anshan Iron and ...,China,Africa,Metals,Manufacturing,Considering Project (...,-,-
11,Oct 2011,Athena Global Se...,Athena Global Se...,France,Africa,Software & IT serv...,n/a,New Investment Stra...,-,-
12,Oct 2011,One97 Communic...,One97 Communic...,India,Asia-Pacific,Communications,n/a,New Funding/Resour...,-,-
13,Oct 2011,KOSI,KOSI,United Kingdom,Rwanda,Business services,Business Services,New Overseas Suppli...,-,-
14,Oct 2011,Metrofile,Metrofile,South Africa,Africa,Business services,Unspecified,New Investment Stra...,-,-
15,Oct 2011,Eaton Telecom In...,Eaton Telecom In...,United Kingdom,Africa,Communications,Unspecified,New Investment Stra...,-,$150.00m
