ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,May 2016,Jugnoo (SoCoMo ...,Jugnoo (SoCoMo ...,India,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,-
2,May 2016,Universal Weathe...,Kilimanjaro Aviati...,United States,Africa,Transportation & ...,n/a,New Investment Stra...,-,-
3,May 2016,United Aviation S...,United Aviation S...,UAE,Asia-Pacific,Transportation & ...,n/a,New Investment Stra...,-,-
4,May 2016,Pietrucha,Pietrucha,Poland,Africa,Plastics,Manufacturing,Considering Project (...,-,-
5,May 2016,The National Com...,The National Com...,Saudi Arabia,Malaysia,Financial services,n/a,New Investment Stra...,-,-
6,May 2016,Viettel,Viettel,Vietnam,Latin America & C...,Communications,n/a,New Investment Stra...,-,-
7,May 2016,Sawaya Internati...,Sawaya Internati...,Lebanon,Asia-Pacific,Consumer products,n/a,New Investment Stra...,-,-
8,May 2016,Nazih Group,Nazih Group,UAE,Asia-Pacific,Consumer products,n/a,New Investment Stra...,-,-
9,May 2016,Metropolis Health...,Metropolis Health...,India,Africa,Healthcare,Unspecified,Considering Project (...,-,-
10,May 2016,Brate,Brate,Lebanon,Middle East,Software & IT serv...,n/a,New Funding/Resour...,-,-
11,May 2016,Transnet,Transnet,South Africa,Africa,Non-automotive tr...,"Sales, Marketing ...",Considering Project (...,-,-
12,May 2016,Unleashed Softw...,Unleashed Softw...,New Zealand,United States,Software & IT serv...,n/a,New Funding/Resour...,-,-
13,May 2016,Thisisme,Thisisme,South Africa,North America,Software & IT serv...,n/a,New Funding/Resour...,-,$2.50m
14,May 2016,Saudi Aramco,Saudi Aramco,Saudi Arabia,United States,"Coal, oil & gas",n/a,New Investment Stra...,-,-
15,May 2016,Bank of China,Bank of China,China,Asia-Pacific,Financial services,Business Services,Considering Project (...,-,-
