ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2022,D.light Design,D.light Design,United States,Africa,Electronic components,n/a,New Funding/Resour...,$7.00m,-
2,Mar 2022,Wiz Freight,Wiz Freight,India,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,$36.60m,-
3,Mar 2022,Vivun,Vivun,United States,Middle East,Software & IT services,n/a,New Personnel,-,-
4,Mar 2022,PM Connect,PM Connect,United Kingdom,North America,Software & IT services,n/a,New Investment Stra...,-,-
5,Mar 2022,Eksab,Eksab,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$3.00m,-
6,Mar 2022,CredPal,CredPal,Nigeria,Kenya,Financial services,n/a,New Funding/Resour...,$15.00m,-
7,Mar 2022,Brew (Gramsoft),Brew (Gramsoft),Israel,North America,Software & IT services,n/a,New Funding/Resour...,$12.00m,-
8,Mar 2022,Captain Fresh,Captain Fresh,India,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$50.00m,-
9,Mar 2022,Sahara Group,Sahara Group,Nigeria,Asia-Pacific,Transportation & War...,n/a,New Investment Stra...,-,-
10,Mar 2022,Waspito,Waspito,Cameroon,Côte d Ivoire,Software & IT services,n/a,New Funding/Resour...,$2.70m,-
11,Mar 2022,BTL Group (Surp...,BTL Group (Surp...,United Kingdom,United States,Software & IT services,n/a,New Funding/Resour...,-,-
12,Mar 2022,Altibbi,Altibbi,UAE,Saudi Arabia,Software & IT services,n/a,New Funding/Resour...,$44.00m,-
13,Mar 2022,Simetrik,Simetrik,Colombia,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$20.00m,-
14,Mar 2022,Rebel Girls,Rebel Girls,United States,Middle East,Software & IT services,n/a,New Funding/Resour...,$13.00m,-
15,Mar 2022,Aqarito,Aqarito,Saudi Arabia,Jordan,Real estate,n/a,New Funding/Resour...,$0.76m,-
