ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Aug 2012,Edward Nathan S...,Edward Nathan S...,South Africa,Africa,Business services,Business Services,Considering Projec...,-,-
2,Aug 2012,Anadolu Efes,Anadolu Efes,Turkey,Asia-Pacific,Food and Beverages,Unspecified,New Investment Stra...,-,-
3,Aug 2012,Dropsuite (Drop...,Dropsuite (Drop...,Singapore,Middle East,Communications,"Sales, Marketing ...",Considering Project (...,-,-
4,Aug 2012,Thebe Investmen...,FX Africa Foreign ...,South Africa,Africa,Financial services,Unspecified,New Investment Stra...,-,-
5,Aug 2012,Standard Charter...,Standard Charter...,United Kingdom,Africa,Financial services,Business Services,Considering Project (...,-,-
6,Jul 2012,eGain Communic...,eGain Communic...,United States,North America,Software & IT serv...,Unspecified,New Personnel,-,-
7,Jul 2012,Diamond Trust B...,Diamond Trust B...,Kenya,Madagascar,Financial services,Business Services,Considering Project (...,-,-
8,Jul 2012,Sabco Group,Amouage (Oman ...,Oman,South Korea,Consumer products,Retail,New Investment Stra...,-,-
9,Jul 2012,Strides Pharma S...,Strides Pharma S...,India,Africa,Pharmaceuticals,Manufacturing,Considering Project (...,-,-
10,Jul 2012,Helios Towers,Helios Towers,United Kingdom,Africa,Communications,Unspecified,New Funding/Resour...,-,$200.00m
11,Jul 2012,The Suddath Co...,Lexicon Relocation,United States,Latin America & C...,Business services,Business Services,Considering Project (...,-,-
12,Jul 2012,Delacon Biotechnik,Delacon Biotechnik,Austria,Latin America & C...,Chemicals,Unspecified,New Personnel,-,-
13,Jul 2012,rLG Communicati...,rLG Communicati...,Ghana,Côte d Ivoire,Business machines...,Unspecified,New Investment Stra...,-,-
14,Jul 2012,Deloitte Touche T...,Deloitte Touche T...,United States,Latin America & C...,Business services,Unspecified,New Investment Stra...,-,$750.00m
15,Jul 2012,Publicis Groupe,Bartle Bogle Heg...,France,Middle East,Business services,Business Services,Considering Project (...,-,-
