ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,May 2017,SweepSouth,SweepSouth,South Africa,Africa,Business services,n/a,New Funding/Resour...,-,-
2,May 2017,Brinton Pharmac...,Brinton Pharmac...,United States,Asia-Pacific,Pharmaceuticals,n/a,New Funding/Resour...,-,-
3,May 2017,Viettel,Viettel Global,Vietnam,Nigeria,Communications,n/a,New Investment Stra...,-,-
4,May 2017,Deyor Camps,Deyor Camps,India,Asia-Pacific,Hotels & tourism,n/a,New Investment Stra...,-,-
5,May 2017,Orbital Insight,Orbital Insight,United States,Africa,Software & IT serv...,"Sales, Marketing & ...",Considering Projec...,-,-
6,Apr 2017,ADES International,ADES International,UAE,Middle East,"Coal, oil & gas",n/a,New Investment Stra...,-,-
7,Apr 2017,Global Top E-Co...,Shenzhen Global...,China,Asia-Pacific,Consumer products,Retail,Considering Projec...,-,-
8,Apr 2017,Icertis,Icertis,United States,Middle East,Software & IT serv...,n/a,New Personnel,-,-
9,Apr 2017,iSon Group,iSON Technologies,Nigeria,Africa,Software & IT serv...,Business Services,Considering Project (...,-,-
10,Apr 2017,Shanghai Jin Jian...,Louvre Hotels,China,Middle East,Hotels & tourism,Construction,Considering Project (...,-,-
11,Apr 2017,Playco Entertain...,Playco Entertain...,UAE,Asia-Pacific,Software & IT serv...,n/a,New Investment Stra...,-,-
12,Apr 2017,Masraf Al Rayan,Masraf Al Rayan,Qatar,Asia-Pacific,Financial services,n/a,New Investment Stra...,-,-
13,Apr 2017,Qatar National Ba...,Qatar National Ba...,Qatar,Asia-Pacific,Financial services,n/a,New Investment Stra...,-,-
14,Apr 2017,Kansai Paint,Kansai Paint,Japan,Asia-Pacific,Chemicals,n/a,New Investment Stra...,-,-
15,Apr 2017,Meinhardt,Meinhardt,Singapore,Middle East,Business services,n/a,New Investment Stra...,-,-
