ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jun 2014,Woori Financial G...,Woori Bank,South Korea,Middle East,Financial services,Business Services,Considering Project (...,-,-
2,Jun 2014,Optimal Strategix,Optimal Strategix,United States,Asia-Pacific,Business services,n/a,New Investment Stra...,-,-
3,Jun 2014,Kewalram Chanrai,Kewalram Chanrai,Singapore,Nigeria,Automotive compo...,Education & Traini...,Considering Project (...,-,-
4,Jun 2014,Deutsche Post,DHL Express,Germany,Africa,Transportation & ...,Unspecified,New Investment Stra...,-,-
5,Jun 2014,Gill Business Syst...,Gill Business Syst...,Ukraine,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,-
6,Jun 2014,MediaMath,MediaMath,United States,Latin America & C...,Software & IT serv...,"Sales, Marketing ...",Considering Projec...,-,-
7,May 2014,IGB Corporation,IGB Corporation,Malaysia,Africa,Hotels & tourism,Construction,Considering Project (...,-,$155.50m
8,May 2014,Dyson,Dyson,United Kingdom,Nigeria,Consumer electron...,n/a,Considering Project (...,-,-
9,May 2014,Takealot.com,Takealot.com,South Africa,Africa,Consumer electron...,n/a,New Funding/Resour...,-,-
10,May 2014,Sumo Logic,Sumo Logic,United States,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,-
11,May 2014,SFT Consultores,SFT Consultores,Spain,Asia-Pacific,Business services,Unspecified,New Investment Stra...,-,-
12,May 2014,uAfrica.com,uAfrica.com,South Africa,Africa,Software & IT serv...,n/a,New Funding/Resour...,-,-
13,May 2014,Heineken,Heineken,Netherlands,Africa,Food and Beverages,n/a,New Investment Stra...,-,-
14,May 2014,GP Global (Gulf P...,GP Global (Gulf P...,UAE,Asia-Pacific,"Coal, oil & gas",n/a,New Investment Stra...,-,-
15,May 2014,de Grisogono,de Grisogono,Switzerland,Asia-Pacific,Consumer products,"Sales, Marketing ...",Considering Project (...,-,-
