ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jan 2021,Innovex,Innovex,Uganda,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
2,Jan 2021,Splashtop,Splashtop,United States,Middle East,Software & IT services,n/a,New Funding/Resour...,$49.00m,-
3,Jan 2021,Chari.ma,Chari.ma,Morocco,Tunisia,Software & IT services,n/a,New Investment Stra...,-,-
4,Jan 2021,spiderSilk,spiderSilk,UAE,North America,Software & IT services,n/a,New Funding/Resour...,$2.25m,-
5,Jan 2021,HSBC Holdings,HSBC Bank,United Kingdom,Turkey,Financial services,n/a,New Investment Stra...,-,-
6,Jan 2021,Hero Cycles,Hero Motocorp (H...,India,Latin America & C...,Non-automotive tran...,n/a,New Investment Stra...,-,-
7,Jan 2021,uLesson,uLesson,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$7.50m,-
8,Jan 2021,Unity Retail,Unity Retail,Pakistan,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
9,Jan 2021,VFD Group,VFD Group,Nigeria,Africa,Financial services,n/a,New Investment Stra...,-,-
10,Jan 2021,Traydstream,Traydstream,United Kingdom,Africa,Software & IT services,n/a,New Personnel,-,-
11,Jan 2021,Ozé,Ozé,Ghana,Nigeria,Financial services,n/a,New Funding/Resour...,$0.70m,-
12,Jan 2021,Moniepoint (Tea...,Moniepoint (Tea...,Nigeria,Africa,Software & IT services,n/a,New Investment Stra...,-,-
13,Jan 2021,Workato,Workato,United States,United States,Software & IT services,n/a,New Funding/Resour...,$110.00m,-
14,Jan 2021,TAV Airports Hold...,TAV Airports Hold...,Turkey,Asia-Pacific,Real estate,n/a,New Investment Stra...,-,-
15,Jan 2021,Sunray Ventures,Daystar Power,UAE,Nigeria,Renewable energy,n/a,New Funding/Resour...,$38.00m,-
