ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Feb 2021,SunCulture,SunCulture,Kenya,Africa,Electronic compon...,n/a,New Funding/Resour...,$11.00m,-
2,Feb 2021,Ramfoam,Ramfoam,United Kingdom,Latin America & C...,Plastics,n/a,New Personnel,-,-
3,Feb 2021,TigerGraph,TigerGraph,United States,Australia,Software & IT services,n/a,New Funding/Resour...,$105.00m,-
4,Feb 2021,Amitruck,Amitruck,Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
5,Feb 2021,Imarticus Learning,Imarticus Learning,India,Nigeria,Business services,n/a,New Investment Stra...,-,-
6,Feb 2021,VeggieVictory,VeggieVictory,Nigeria,United States,Food and Beverages,n/a,New Funding/Resour...,-,-
7,Feb 2021,gnuGrid Africa,gnuGrid Africa,Uganda,Africa,Renewable energy,n/a,New Funding/Resour...,$0.25m,-
8,Feb 2021,Symend,Symend,Canada,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$43.00m,-
9,Feb 2021,Sabco Group,Amouage (Oman ...,Oman,Middle East,Consumer products,n/a,New Investment Stra...,-,-
10,Feb 2021,Charis UAS,Charis UAS,Rwanda,Africa,Aerospace,n/a,New Funding/Resour...,-,-
11,Feb 2021,DroneDeploy,DroneDeploy,United States,Middle East,Software & IT services,"Sales, Marketing & ...",Considering Projec...,$50.00m,-
12,Feb 2021,Boreal Light,Boreal Light,Germany,Africa,Electronic compon...,n/a,New Funding/Resour...,$7.50m,-
13,Feb 2021,Mono (YC W21),Mono (YC W21),Nigeria,Kenya,Software & IT services,n/a,New Investment Stra...,-,-
14,Feb 2021,NymCard,NymCard,UAE,Middle East,Financial services,Business Services,Considering Projec...,$7.60m,-
15,Jan 2021,Pula,Pula,Kenya,Asia-Pacific,Financial services,n/a,New Funding/Resour...,$6.00m,-
