ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,May 2014,de Grisogono,de Grisogono,Switzerland,Asia-Pacific,Consumer products,"Sales, Marketing ...",Considering Project (...,-,-
2,May 2014,Phillips-Van Heus...,Phillips-Van Heus...,United States,Ethiopia,Textiles,n/a,New Investment Stra...,-,-
3,May 2014,Interpublic Group...,R/GA,United States,Asia-Pacific,Business services,Business Services,Considering Projec...,-,-
4,May 2014,Vodafone Group,Vodafone Group,United Kingdom,Egypt,Communications,n/a,New Investment Stra...,-,$1.28bn
5,May 2014,BYD,BYD Electronics,China,Africa,Automotive compo...,"Logistics, Distribu...",Considering Project (...,-,-
6,May 2014,Arabtec Holding,Arabtec Holding,UAE,Iraq,Real estate,n/a,New Investment Stra...,-,-
7,May 2014,Kuwait Projects (...,Takaud,Kuwait,Middle East,Financial services,n/a,New Investment Stra...,-,-
8,Apr 2014,Luno (BitX),Luno (BitX),United Kingdom,Malaysia,Software & IT serv...,n/a,Considering Project (...,-,-
9,Apr 2014,Robert Bosch,Bosch Packaging ...,Germany,Asia-Pacific,Industrial equipme...,"Sales, Marketing ...",Considering Project (...,-,-
10,Apr 2014,Petronas,Petronas,Malaysia,India,"Coal, oil & gas",Extraction,Considering Project (...,-,-
11,Apr 2014,Business Connexi...,Business Connexi...,South Africa,Nigeria,Communications,n/a,Considering Project (...,-,-
12,Apr 2014,Sojern,Sojern,United States,Latin America & C...,Software & IT serv...,n/a,New Investment Stra...,-,-
13,Apr 2014,United Aviation S...,United Aviation S...,UAE,Africa,Transportation & ...,Unspecified,New Investment Stra...,-,-
14,Apr 2014,Atterbury Propert...,Atterbury Propert...,South Africa,Kenya,Real estate,n/a,New Investment Stra...,-,-
15,Apr 2014,Guaranty Trust B...,Guaranty Trust B...,Nigeria,Angola,Financial services,Business Services,Considering Project (...,-,-
