ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jun 2022,Eva Center,Eva Center,Mexico,India,Medical devices,n/a,New Funding/Resour...,$7.00m,-
2,Jun 2022,Wingcopter,Wingcopter,Germany,Africa,Aerospace,n/a,New Funding/Resour...,$42.00m,-
3,Jun 2022,One Electric Moto...,One Electric Moto...,India,Kenya,Non-automotive tran...,n/a,Considering Projec...,-,-
4,Jun 2022,LeadSquared,LeadSquared,India,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$153.00m,-
5,Jun 2022,Fido Money Lendi...,Fido Money Lendi...,Ghana,Africa,Software & IT services,n/a,New Funding/Resour...,$30.00m,-
6,Jun 2022,Wahed Invest,Wahed Invest,United States,Saudi Arabia,Financial services,n/a,New Funding/Resour...,$50.00m,-
7,Jun 2022,Virridy,Virridy,United States,North America,Industrial equipment,n/a,New Funding/Resour...,$5.50m,-
8,Jun 2022,Benya (Fiber Misr),Benya (Fiber Misr),Egypt,Africa,Software & IT services,n/a,New Investment Stra...,$150.00m,-
9,Jun 2022,Zvolv (Zestl),Zvolv (Zestl),India,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,-,$3.00m
10,Jun 2022,SimpleMarket (Be...,SimpleMarket (Be...,Nigeria,Ghana,Software & IT services,n/a,New Funding/Resour...,$2.50m,-
11,Jun 2022,Boustead Holdings,Pharmaniaga,Malaysia,Turkey,Pharmaceuticals,n/a,New Investment Stra...,-,-
12,Jun 2022,Onafriq (MFS Afri...,Onafriq (MFS Afri...,South Africa,Africa,Software & IT services,n/a,New Funding/Resour...,$100.00m,-
13,Jun 2022,DXwand,DXwand,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
14,Jun 2022,CommVault Syste...,CommVault Syste...,United States,Africa,Software & IT services,n/a,New Investment Stra...,-,-
15,Jun 2022,GoMyCode,GoMyCode,Tunisia,Middle East,Business services,n/a,New Funding/Resour...,$8.00m,-
