ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2022,Nuvei,Nuvei,Canada,Asia-Pacific,Financial services,n/a,New Investment Stra...,-,-
2,Mar 2022,Hammerspace,Hammerspace,United States,Middle East,Software & IT services,"Sales, Marketing & ...",Considering Project (...,-,-
3,Mar 2022,OneOrder,OneOrder,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
4,Mar 2022,AfricaSokoni,AfricaSokoni,Kenya,Uganda,Consumer products,n/a,New Investment Stra...,-,-
5,Mar 2022,Boxconn,Boxconn,Ghana,Mali,Software & IT services,n/a,New Investment Stra...,$0.10m,-
6,Mar 2022,Volopay,Volopay,Singapore,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$29.00m,-
7,Feb 2022,Manulife,Manulife Investm...,Canada,Germany,Financial services,n/a,New Personnel,-,-
8,Feb 2022,Grintafy Technolo...,Grintafy Technolo...,Saudi Arabia,Egypt,Software & IT services,n/a,New Funding/Resour...,$2.10m,-
9,Feb 2022,Mitel Networks,Mitel Networks,Canada,Uganda,Communications,n/a,New Investment Stra...,-,-
10,Feb 2022,PEBL,PEBL,Namibia,Africa,Business machines &...,n/a,New Funding/Resour...,-,-
11,Feb 2022,Kanie Supply and...,Kanie Supply and...,Namibia,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
12,Feb 2022,Nam Grocery,Nam Grocery,Namibia,Africa,Food and Beverages,n/a,New Funding/Resour...,-,-
13,Feb 2022,OCR Labs,OCR Labs,Australia,North America,Software & IT services,n/a,Considering Projec...,$30.00m,-
14,Feb 2022,MarketForce (Mar...,MarketForce (Mar...,Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,$40.00m,-
15,Feb 2022,Leap Finance (Le...,Leap Finance (Le...,India,Asia-Pacific,Financial services,"Sales, Marketing & ...",New Funding/Resour...,-,$20.00m
