ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2022,BioNTech,BioNTech,Germany,Africa,Biotechnology,Manufacturing,Considering Project (...,-,-
2,Jul 2022,Alfanar,Alfanar,Saudi Arabia,Africa,Electronic compon...,Electricity,Considering Projec...,-,-
3,Jul 2022,Zenysis Technolo...,Zenysis Technolo...,United States,Africa,Software & IT services,n/a,New Funding/Resour...,$13.30m,-
4,Jul 2022,NetSPI,NetSPI,United States,Middle East,Software & IT services,n/a,New Investment Stra...,$90.00m,-
5,Jul 2022,Moringa School,Moringa School,Kenya,Africa,Business services,n/a,New Funding/Resour...,-,-
6,Jul 2022,OKO,OKO,Mali,Côte d Ivoire,Software & IT services,n/a,New Funding/Resour...,$0.50m,-
7,Jun 2022,Solv,Solv,India,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$40.00m,-
8,Jun 2022,Thepeer,Thepeer,Nigeria,Kenya,Software & IT services,n/a,New Funding/Resour...,$2.10m,-
9,Jun 2022,Front,Front,United States,Middle East,Software & IT services,n/a,New Funding/Resour...,$65.00m,-
10,Jun 2022,mTek Services,mTek Services,Kenya,Africa,Financial services,n/a,New Funding/Resour...,$3.00m,-
11,Jun 2022,ApplyBoard,ApplyBoard,Canada,Africa,Software & IT services,n/a,New Investment Stra...,-,-
12,Jun 2022,Healthtracka,Healthtracka,Nigeria,Kenya,Software & IT services,n/a,New Funding/Resour...,$1.50m,-
13,Jun 2022,CredPal,CredPal,Nigeria,Kenya,Financial services,n/a,New Funding/Resour...,-,-
14,Jun 2022,Chingari,Chingari,India,Malaysia,Software & IT services,n/a,New Investment Stra...,-,-
15,Jun 2022,Entourage,Entourage,UAE,Egypt,Business services,Business Services,New Investment Stra...,-,-
