ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,May 2015,COSCO SHIPPIN...,Cosco Pacific,China,Asia-Pacific,Transportation & ...,"Logistics, Distribu...",Considering Project (...,-,-
2,May 2015,Samanage,Samanage,United States,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,-
3,May 2015,Furukawa,Furukawa,Japan,Africa,Electronic compon...,Manufacturing,Considering Project (...,-,-
4,May 2015,Spectris,ESG Solutions (E...,United Kingdom,Latin America & C...,"Coal, oil & gas","Sales, Marketing ...",Considering Project (...,-,-
5,May 2015,Bakhresa,Azam Media,Tanzania,Sierra Leone,Communications,n/a,New Investment Stra...,-,-
6,May 2015,Ceconomy (Metro),Ceconomy (Metro),Germany,Asia-Pacific,Consumer electron...,Retail,Considering Project (...,-,-
7,May 2015,Minor International,Minor International,Thailand,Africa,Hotels & tourism,n/a,New Investment Stra...,-,-
8,May 2015,Eshraq Properties,Eshraq Properties,UAE,Egypt,Real estate,n/a,New Investment Stra...,-,-
9,May 2015,dopay,dopay,United Kingdom,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,-
10,Apr 2015,Shahnaz Husain,Shahnaz Husain,India,Asia-Pacific,Consumer products,n/a,New Investment Stra...,-,-
11,Apr 2015,ICE Seguros,ICE Seguros,United Kingdom,Democratic Re...,Financial services,"Sales, Marketing ...",Considering Project (...,-,-
12,Apr 2015,Bidco Africa (Bidc...,Bidco Africa (Bidc...,Kenya,Madagascar,Food and Beverages,Manufacturing,Considering Project (...,-,-
13,Apr 2015,International Con...,International Con...,Philippines,Africa,Transportation & ...,"Logistics, Distribu...",Considering Project (...,-,-
14,Apr 2015,Eagle Hills,Eagle Hills,UAE,Egypt,Real estate,Construction,New Overseas Suppli...,-,$80.00bn
15,Apr 2015,Dubai Islamic Ins...,Dubai Islamic Ins...,UAE,Egypt,Financial services,n/a,New Investment Stra...,-,-
