ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2026,InvestSky,InvestSky,UAE,Saudi Arabia,Software & IT services,n/a,New Funding/Resour...,$4.00m,-
2,Mar 2026,Securonix,Securonix,United States,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
3,Mar 2026,Weego,Weego,Morocco,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.10m,-
4,Mar 2026,Lupiya,Lupiya,Zambia,Africa,Financial services,n/a,New Funding/Resour...,$11.25m,-
5,Mar 2026,ZIWO,ZIWO,UAE,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
6,Mar 2026,Arc Ride,Arc Ride,Kenya,Africa,Electronic components,n/a,New Funding/Resour...,$5.00m,-
7,Mar 2026,Ubees,Ubees,France,United States,Software & IT services,n/a,New Funding/Resour...,$9.45m,-
8,Mar 2026,Breadfast,Breadfast,Egypt,Africa,Food and Beverages,n/a,New Funding/Resour...,$50.00m,-
9,Feb 2026,VisionWave,Solar Drone,United States,Egypt,Space & defence,n/a,New Investment Stra...,-,-
10,Feb 2026,Spintly,Spintly,United States,United States,Software & IT services,n/a,New Funding/Resour...,$8.00m,-
11,Feb 2026,OfficePlast,OfficePlast,Tunisia,Africa,Consumer products,n/a,New Investment Stra...,-,-
12,Feb 2026,Levl,Levl,Switzerland,Latin America & C...,Software & IT services,n/a,New Funding/Reso...,$7.00m,-
13,Feb 2026,Verkada,Verkada,United States,Middle East,Communications,n/a,New Investment Stra...,-,-
14,Feb 2026,GoCab,GoCab,Côte d Ivoire,Africa,Software & IT services,n/a,New Funding/Resour...,$45.00m,-
15,Feb 2026,Yakeey,Yakeey,Morocco,Africa,Software & IT services,n/a,New Funding/Resour...,$15.00m,-
