ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jun 2020,Eversend,Eversend,France,Nigeria,Financial services,n/a,New Funding/Resour...,$0.71m,-
2,May 2020,TigerWit,TigerWit,United Kingdom,Latin America & C...,Financial services,n/a,New Investment Stra...,-,-
3,May 2020,Bolt (Taxify),Bolt (Taxify),Estonia,Africa,Software & IT services,n/a,New Funding/Resour...,$109.97m,-
4,May 2020,Apeel Sciences,Apeel Sciences,United States,United States,Chemicals,n/a,New Funding/Resour...,$250.00m,-
5,May 2020,Peach Payments,Peach Payments,South Africa,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
6,May 2020,Diamanti,Diamanti,United States,Latin America & C...,Software & IT services,n/a,New Investment Stra...,-,-
7,May 2020,Helium Health,Helium Health,Nigeria,Kenya,Software & IT services,n/a,New Funding/Resour...,$10.00m,-
8,May 2020,Mimmo Organics,Mimmo Organics,India,Seychelles,Food and Beverages,n/a,New Investment Stra...,-,-
9,May 2020,ApplyBoard,ApplyBoard,Canada,United Kingdom,Software & IT services,n/a,New Funding/Resour...,$75.00m,-
10,May 2020,Guidewheel,Guidewheel,United States,Kenya,Software & IT services,n/a,New Investment Stra...,-,-
11,May 2020,Eventus Systems,Eventus Systems,United States,Latin America & C...,Software & IT services,n/a,New Personnel,-,-
12,Apr 2020,Baims,Baims,Kuwait,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
13,Apr 2020,Xpensi,Xpensi,Ireland,Nigeria,Software & IT services,n/a,New Funding/Resour...,-,-
14,Apr 2020,MYSUN,MYSUN,India,Asia-Pacific,Electronic components,n/a,New Funding/Resour...,$4.20m,-
15,Apr 2020,Okra,Okra,Nigeria,Kenya,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
