ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Apr 2023,Global Process an...,Global Process an...,Nigeria,Africa,"Coal, oil & gas",n/a,New Investment Stra...,-,-
2,Apr 2023,Wielton,Wielton,Poland,Africa,Automotive compone...,n/a,New Investment Stra...,-,-
3,Apr 2023,Crescite,Crescite,United States,Africa,Software & IT services,n/a,New Investment Stra...,-,-
4,Apr 2023,Baladna,Baladna,Qatar,Indonesia,Food and Beverages,n/a,New Investment Stra...,-,-
5,Apr 2023,Metlen Energy & ...,Metlen Energy & ...,Greece,Egypt,Renewable energy,Electricity,Considering Project (...,-,-
6,Apr 2023,Shanghai Jin Jian...,Radisson Hospital...,China,Nigeria,Hotels & tourism,Construction,Considering Project (...,-,-
7,Apr 2023,Payday,Payday,Rwanda,United Kingdom,Software & IT services,n/a,New Funding/Resour...,$3.00m,-
8,Mar 2023,Credable Group,Credable Group,UAE,Pakistan,Software & IT services,n/a,New Funding/Resour...,$2.50m,-
9,Mar 2023,Commercial Bank...,Commercial Bank...,Sri Lanka,Bangladesh,Financial services,n/a,New Investment Stra...,-,-
10,Mar 2023,RaiseFX,RaiseFX,Kazakhstan,Nigeria,Financial services,n/a,New Investment Stra...,-,-
11,Mar 2023,Sifflet,Sifflet,France,United States,Software & IT services,n/a,New Funding/Resour...,$13.00m,-
12,Mar 2023,YMO (YMoney),YMO (YMoney),France,Africa,Software & IT services,n/a,New Funding/Resour...,$3.23m,-
13,Mar 2023,Agility,Agility,Kuwait,Middle East,Communications,ICT & Internet Infra...,Considering Project (...,-,-
14,Mar 2023,Evtec Energy,Evtec Energy,United Kingdom,Nigeria,Renewable energy,Electricity,Considering Project (...,-,-
15,Mar 2023,Kuehne + Nagel I...,Kuehne + Nagel I...,Switzerland,Africa,Transportation & War...,n/a,New Investment Stra...,-,-
