ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Dec 2011,IQNavigator,IQNavigator,United States,Asia-Pacific,Software & IT serv...,Unspecified,New Investment Stra...,-,-
2,Dec 2011,Friendi,Friendi,UAE,Asia-Pacific,Communications,Unspecified,New Investment Stra...,-,-
3,Dec 2011,Arla Foods,Arla Foods,Denmark,Asia-Pacific,Food and Beverages,n/a,New Investment Stra...,-,-
4,Dec 2011,Mahindra Group,Tech Mahindra,India,Middle East,Business services,Unspecified,New Investment Stra...,-,-
5,Dec 2011,BSi Steel,BSi Steel,South Africa,Africa,Metals,Unspecified,New Investment Stra...,-,-
6,Dec 2011,OEG Offshore,OEG Offshore,United Kingdom,Africa,Industrial equipme...,n/a,New Investment S...,-,-
7,Dec 2011,Puma,Puma,Germany,Africa,Textiles,Manufacturing,New Investment Stra...,-,-
8,Dec 2011,Global Fleet Group,Energy Bank Gha...,Nigeria,Africa,Financial services,Unspecified,New Investment Stra...,-,-
9,Dec 2011,Yara International,Yara International,Norway,Latin America & C...,Chemicals,Unspecified,New Investment Stra...,-,-
10,Dec 2011,Herbert Smith Fr...,Herbert Smith Fr...,United Kingdom,Africa,Business services,Business Services,Considering Project (...,-,-
11,Dec 2011,Cevital,Cevital,Algeria,Rwanda,Food and Beverages,Unspecified,New Investment Stra...,-,-
12,Dec 2011,Sixt,Sixt,Germany,Latin America & C...,Business services,Unspecified,New Investment Stra...,-,-
13,Dec 2011,Agriterra,Agriterra,Mozambique,Africa,Food and Beverages,Manufacturing,Considering Projec...,-,-
14,Dec 2011,Tata Group,Tata Power,India,Africa,"Coal, oil & gas",Electricity,Considering Project (...,-,-
15,Nov 2011,KPMG,KPMG,Netherlands,Africa,Business services,n/a,New Investment Stra...,-,-
