ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2019,The Alpine Center,The Alpine Center,Switzerland,Africa,Business services,Business Services,Considering Project (...,-,-
2,Jul 2019,SpyCloud,SpyCloud,United States,Middle East,Communications,n/a,New Personnel,-,-
3,Jul 2019,Sure Chill,Sure Chill,United Kingdom,Africa,Industrial equipment,n/a,New Funding/Resour...,-,-
4,Jul 2019,Didi Chuxing,Didi Chuxing,China,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
5,Jul 2019,Exxon Mobil,Exxon Mobil,United States,Egypt,"Coal, oil & gas","Logistics, Distributio...",Considering Project (...,-,-
6,Jul 2019,BASF,Wintershall,Germany,Egypt,"Coal, oil & gas",n/a,New Investment Stra...,-,-
7,Jul 2019,Enko Education,Enko Education,South Africa,Africa,Business services,Education & Training,New Funding/Resour...,-,-
8,Jul 2019,PayMate,PayMate,India,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
9,Jul 2019,Cryptyd Games,Cryptyd Games,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
10,Jul 2019,ecoligo,ecoligo,Germany,Costa Rica,Renewable energy,n/a,New Funding/Resour...,-,-
11,Jul 2019,Steamaco,Steamaco,United Kingdom,Asia-Pacific,Industrial equipment,n/a,New Funding/Resour...,-,-
12,Jul 2019,Casio,Casio,Japan,Uganda,Consumer electronics,Manufacturing,Considering Project (...,-,-
13,Jul 2019,Banque Misr,Banque Misr,Egypt,Djibouti,Financial services,Business Services,Considering Project (...,-,-
14,Jul 2019,Shangri-La Hotel...,Shangri-La Hotel...,Hong Kong,Oman,Hotels & tourism,Construction,Considering Project (...,-,-
15,Jul 2019,AlgoDriven,AlgoDriven,UAE,Australia,Software & IT services,n/a,New Funding/Resour...,-,$0.62m
