ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jun 2019,Navan (TripAction...,Navan (TripAction...,United States,Middle East,Hotels & tourism,n/a,New Funding/Resour...,-,-
2,Jun 2019,ZayRide,ZayRide,Ethiopia,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
3,Jun 2019,Ozow,Ozow,South Africa,Africa,Financial services,n/a,New Funding/Resour...,-,-
4,Jun 2019,Shristi Infrastruct...,Shristi Infrastruct...,India,UAE,Business services,n/a,New Investment Stra...,-,-
5,Jun 2019,Swvl,Swvl,Egypt,Nigeria,Software & IT services,n/a,New Funding/Resour...,-,-
6,Jun 2019,Verizon Communi...,Complex Networks,United States,South Korea,Communications,n/a,New Investment Stra...,-,-
7,Jun 2019,MAX.NG,MAX.NG,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
8,Jun 2019,Inclusivity Solutio...,Inclusivity Solutio...,South Africa,Africa,Financial services,n/a,New Funding/Resour...,-,-
9,Jun 2019,Etix (Etix Everyw...,Etix (Etix Everyw...,Luxembourg,Latin America & C...,Communications,n/a,New Funding/Resour...,-,-
10,Jun 2019,SecurityScorecard,SecurityScorecard,United States,United Kingdom,Software & IT services,n/a,New Funding/Resour...,-,$50.00m
11,Jun 2019,MPost,MPost,Kenya,South Africa,Transportation & War...,n/a,New Funding/Resour...,-,-
12,Jun 2019,Swiftly,Swiftly,United States,United States,Software & IT services,n/a,New Funding/Resour...,-,-
13,Jun 2019,Oliv,Oliv,UAE,Asia-Pacific,Business services,n/a,New Funding/Resour...,-,-
14,Jun 2019,BanQu,BanQu,United States,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,-,-
15,Jun 2019,MTN Group,MTN Group,South Africa,Nigeria,Communications,n/a,New Funding/Resour...,-,-
