ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Feb 2014,Housing.com,Housing.com,India,South Africa,Software & IT serv...,n/a,New Investment Stra...,-,-
2,Feb 2014,Aramex Internati...,Aramex Internati...,UAE,Asia-Pacific,Transportation & ...,n/a,New Investment Stra...,-,-
3,Jan 2014,Dubai Islamic Ba...,Dubai Islamic Ba...,UAE,Asia-Pacific,Financial services,n/a,New Investment Stra...,-,-
4,Jan 2014,Outrigger,Outrigger,United States,Asia-Pacific,Hotels & tourism,n/a,New Investment Stra...,-,-
5,Jan 2014,iKaaz,iKaaz,India,Africa,Software & IT serv...,n/a,New Funding/Resour...,-,-
6,Jan 2014,Vasona Networks,Vasona Networks,United States,Middle East,Communications,Unspecified,New Investment Stra...,-,-
7,Jan 2014,Artience (Toyo Ink),Artience (Toyo Ink),Japan,Asia-Pacific,Chemicals,Manufacturing,Considering Project (...,-,-
8,Jan 2014,Cotton On,Cotton On,Australia,Asia-Pacific,Textiles,Retail,Considering Project (...,-,-
9,Jan 2014,TUEV SUED (TÜV...,Fleet Logistics,Germany,Latin America & C...,Transportation & ...,n/a,New Investment Stra...,-,-
10,Jan 2014,Bridge Internatio...,Bridge Internatio...,Kenya,Asia-Pacific,Business services,n/a,New Funding/Resour...,-,$16.00m
11,Jan 2014,AJ Walter Aviation,AJ Walter Aviation,United Kingdom,Africa,Aerospace,Unspecified,Considering Project (...,-,-
12,Jan 2014,Explara.com,Explara.com,India,Malaysia,Software & IT serv...,n/a,New Funding/Resour...,-,-
13,Jan 2014,International Busi...,International Busi...,United States,Middle East,Communications,ICT & Internet Inf...,Considering Project (...,-,-
14,Jan 2014,Guangzhou Sund...,Guangzhou Sund...,China,Latin America & C...,Building materials,n/a,New Investment Stra...,-,-
15,Jan 2014,Solar Mosaic,Solar Mosaic,United States,Latin America & C...,Electronic compon...,n/a,New Funding/Resour...,-,$1.00m
