ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jun 2022,Topship,Topship,Nigeria,Kenya,Software & IT services,n/a,New Funding/Resour...,$2.50m,-
2,Jun 2022,Al-Futtaim Group,Al-Futtaim Group,UAE,Egypt,Consumer products,n/a,Considering Project (...,-,$500.00m
3,May 2022,Cloudfret,Cloudfret,France,Africa,Transportation & War...,n/a,New Funding/Resour...,$1.00m,-
4,May 2022,Samsara,Samsara,United States,Middle East,Communications,n/a,New Investment Stra...,-,-
5,May 2022,Engie (GDF SUEZ...,National Central ...,France,Saudi Arabia,Industrial equipment,n/a,New Investment Stra...,-,-
6,May 2022,Esaal,Esaal,Egypt,Middle East,Healthcare,n/a,New Funding/Resour...,$1.70m,-
7,May 2022,Jabu,Jabu,Namibia,South Africa,Consumer products,n/a,New Funding/Resour...,$15.00m,-
8,May 2022,Space Exploratio...,Space Exploratio...,United States,Africa,Communications,n/a,New Investment Stra...,-,-
9,May 2022,Monte Carlo,Monte Carlo,United States,United States,Software & IT services,n/a,New Funding/Resour...,$135.00m,-
10,May 2022,Rawabi Holding,Rawabi Holding,Saudi Arabia,Middle East,Real estate,Construction,New Investment Stra...,-,-
11,May 2022,Syindr,Syindr,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$12.60m,-
12,May 2022,Nile Fresh,Nile Fresh,South Africa,Africa,Software & IT services,n/a,New Funding/Resour...,$5.10m,-
13,May 2022,Edves,Edves,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$2.50m,-
14,May 2022,Poonawalla Inves...,Serum Institute o...,India,South Africa,Pharmaceuticals,Manufacturing,Considering Projec...,-,$300.00m
15,May 2022,Victory Farms,Victory Farms,Kenya,Tanzania,Food and Beverages,n/a,New Funding/Resour...,$5.00m,-
