ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Dec 2017,Access Bank,Access Bank,Nigeria,United States,Financial services,n/a,New Investment Stra...,-,-
2,Dec 2017,Eiko Health,Eiko Health,United Kingdom,Nigeria,Healthcare,n/a,New Investment Stra...,-,-
3,Dec 2017,Quicket,Quicket,South Africa,Africa,Leisure & entertainm...,n/a,New Investment Stra...,-,-
4,Nov 2017,Minerva S/A,Minerva S/A,Brazil,Middle East,Food and Beverages,n/a,New Investment Stra...,-,-
5,Nov 2017,Sankhya Infotech,Sankhya Infotech,India,Latin America & C...,Business services,n/a,New Investment Stra...,-,-
6,Nov 2017,NeoSilica,NeoSilica,India,Asia-Pacific,Software & IT services,n/a,New Investment Stra...,-,-
7,Nov 2017,Exotix,Exotix,United Kingdom,Asia-Pacific,Financial services,n/a,New Investment Stra...,-,-
8,Nov 2017,Al Danube Buildin...,Al Danube Buildin...,UAE,Africa,Building materials,n/a,New Investment Stra...,-,-
9,Nov 2017,Central Group of ...,Centara Hotels & ...,Thailand,Latin America & C...,Hotels & tourism,n/a,New Investment Stra...,-,-
10,Nov 2017,Alosab,Alosab,Nigeria,Africa,Real estate,n/a,New Investment Stra...,-,-
11,Nov 2017,Jobsikaz,Jobsikaz,Kenya,Africa,Business services,n/a,New Investment Stra...,-,-
12,Nov 2017,Manazel,Manazel,UAE,Middle East,Real estate,n/a,New Investment Stra...,-,-
13,Nov 2017,Speedex,Speedex,UAE,Middle East,Consumer products,Retail,New Investment Stra...,-,-
14,Nov 2017,Robert Bosch,Bosch,Germany,Nigeria,Automotive compo...,n/a,New Investment Stra...,-,-
15,Nov 2017,Phoenix Group (U...,Phoenix Group (U...,UAE,India,Food and Beverages,Manufacturing,New Funding/Resour...,-,-
