ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Apr 2014,Dubai Investmen...,Emirates Building...,UAE,Africa,Business services,n/a,New Investment Stra...,-,-
2,Apr 2014,United Bank for A...,United Bank for A...,Nigeria,Angola,Financial services,n/a,New Investment Stra...,-,-
3,Apr 2014,Orica,Orica Mining Serv...,Australia,Africa,Chemicals,n/a,New Investment Stra...,-,-
4,Apr 2014,Dubai Cable (Duc...,Dubai Cable (Duc...,UAE,Africa,Electronic compon...,n/a,New Investment Stra...,-,-
5,Apr 2014,Skyera,Skyera,United States,Asia-Pacific,Software & IT serv...,"Sales, Marketing ...",New Investment Stra...,-,-
6,Apr 2014,Red Hat Software,Red Hat Software,United States,Africa,Software & IT serv...,Unspecified,New Investment Stra...,-,-
7,Apr 2014,Milvik (Bima),Milvik (Bima),Sweden,Latin America & C...,Financial services,n/a,New Funding/Resour...,-,$22.00m
8,Mar 2014,GlaxoSmithKline ...,GlaxoSmithKline ...,United Kingdom,Africa,Pharmaceuticals,Manufacturing,Considering Project (...,-,$217.00m
9,Mar 2014,Invertaresa,Made,Spain,Latin America & C...,Metals,Manufacturing,Considering Project (...,-,-
10,Mar 2014,Bayer,Bayer,Germany,Nigeria,Pharmaceuticals,n/a,New Investment Stra...,-,-
11,Mar 2014,Aviacare,Aviacare,Netherlands,Africa,Aerospace,"Sales, Marketing ...",Considering Project (...,-,-
12,Mar 2014,Saab AB,Saab AB,Sweden,Africa,Space & defence,n/a,New Investment Stra...,-,-
13,Mar 2014,Landmark Group,Centrepoint,UAE,Middle East,Textiles,Retail,Considering Project (...,-,-
14,Mar 2014,Unique Maritime,Unique Maritime,UAE,Middle East,"Coal, oil & gas",n/a,New Investment Stra...,-,-
15,Mar 2014,The Emirates Gro...,Dnata,UAE,Latin America & C...,Hotels & tourism,"Sales, Marketing ...",Considering Project (...,-,-
