ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jan 2025,Tesla Motors,Tesla Motors,United States,South Africa,Electronic components,Manufacturing,Considering Project (...,-,-
2,Jan 2025,KoBold Metals,KoBold Metals,United States,Zambia,Metals,n/a,New Funding/Resour...,$537.00m,-
3,Jan 2025,PBR Life Sciences,PBR Life Sciences,United Kingdom,Kenya,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
4,Jan 2025,Cassava Technolo...,Cassava Technolo...,United Kingdom,Africa,Communications,n/a,New Funding/Resour...,$90.00m,-
5,Jan 2025,BN Group,BN Group,India,Africa,Food and Beverages,Manufacturing,Considering Project (...,-,-
6,Jan 2025,InvoiceQ,InvoiceQ,Jordan,Bahrain,Software & IT services,n/a,New Funding/Resour...,$1.20m,-
7,Dec 2024,Silent Push,Silent Push,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$10.00m,-
8,Dec 2024,Eyone,Eyone,Senegal,Africa,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
9,Dec 2024,Dorman Long En...,Dorman Long En...,Nigeria,Africa,Industrial equipme...,n/a,New Funding/Resour...,$10.00m,-
10,Dec 2024,Enakl,Enakl,Morocco,Africa,Software & IT services,n/a,New Funding/Resour...,$1.40m,-
11,Dec 2024,Platma,Platma,United States,Middle East,Software & IT services,"Sales, Marketing & ...",New Funding/Resour...,$2.20m,-
12,Dec 2024,Skandha Media S...,Skandha Media S...,India,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
13,Dec 2024,Althion,Althion,India,Latin America & C...,Medical devices,n/a,New Funding/Resour...,$0.43m,-
14,Dec 2024,Avia Solutions Gr...,Chapman Freeborn,Ireland,India,Transportation & War...,n/a,New Investment Stra...,-,-
15,Dec 2024,Watercycle Techn...,Watercycle Techn...,United Kingdom,Middle East,Industrial equipme...,n/a,New Funding/Resour...,$5.60m,-
