ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2016,Raya Holding,Raya Contact Cen...,Egypt,Morocco,Business services,Customer Contact...,Considering Project (...,-,-
2,Jul 2016,Skycure,Skycure,United States,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,-
3,Jul 2016,MappedIn,MappedIn,Canada,Asia-Pacific,Software & IT serv...,n/a,New Funding/Reso...,-,-
4,Jul 2016,Pertamina,Pertamina,Indonesia,Iraq,"Coal, oil & gas",n/a,New Investment Stra...,-,-
5,Jul 2016,iFlix,iFlix,Malaysia,Latin America & C...,Software & IT serv...,n/a,New Investment Stra...,-,-
6,Jul 2016,Mannatech,Mannatech,United States,Middle East,Consumer products,n/a,New Investment Stra...,-,-
7,Jul 2016,JinkoSolar,JinkoSolar,China,Latin America & C...,Renewable energy,Electricity,Considering Project (...,-,-
8,Jul 2016,Mosambee,Mosambee,India,Asia-Pacific,Business machines...,n/a,New Investment Stra...,-,-
9,Jul 2016,Yinson Holdings,Yinson Holdings,Malaysia,Asia-Pacific,"Coal, oil & gas",n/a,New Overseas Suppli...,-,-
10,Jun 2016,Brand Communic...,Brand Communic...,United Kingdom,Africa,Business services,Business Services,Considering Project (...,-,-
11,Jun 2016,Hennes & Mauritz...,Hennes & Mauritz...,Sweden,Ethiopia,Textiles,Unspecified,New Investment Stra...,-,-
12,Jun 2016,Ecobank Transnat...,Ecobank Transnat...,Togo,Nigeria,Financial services,Business Services,New Investment Stra...,-,-
13,Jun 2016,Astral Aviation,Astral Aviation,Kenya,Nigeria,Transportation & ...,"Logistics, Distribu...",Considering Project (...,-,-
14,Jun 2016,HeiTech Padu,HeiTech Padu,Malaysia,Asia-Pacific,Automotive compo...,n/a,New Investment S...,-,-
15,Jun 2016,Koyo Corporation...,Koyo Corporation...,Japan,Tanzania,Renewable energy,Electricity,Considering Project (...,-,-
